effect,pct,lo,hi
2017+ total (female baseline),12.580432142462,7.74348409068681,17.6345261929306
2017+ male add-on,15.4024153273583,10.6245692237802,20.3866153498682
2017+ total (male),29.9205378783788,22.1555170820533,38.1791552752317
