Variable,N,Mean,SD,Min,P25,Median,P75,Max
n_leave_m,3382,6.1803666469544,14.0657178178032,0,1,3,5,164
n_leave_f,3382,18.6862803075104,30.6976079878316,0,6,11,19,359
w_total,3382,24.8666469544651,44.4047117527339,0,8,13,24,523
ln_ratio_mf,3382,-1.33173853168747,0.742746144270426,-3.76120011569356,-1.73460105538811,-1.22377543162212,-0.847297860387204,1.94591014905531
u_rate,3384,2.64281914893617,0.72099659763286,0.6,2.1,2.6,3.1,6.1
n_ei,3384,893088.518321512,1462616.81377469,152363,315925,445634.5,756024.75,10394883
n_need,3384,70063.215425532,59120.88693952,18877,33461,46655.5,76676.25,317294
facility_users,3384,19624.2089243499,14447.3512228975,5995,9453.25,13285,22877.75,75913
oldshare75,3384,0.147327127659574,0.020714226538922,0.097,0.132,0.151,0.162,0.201
