period,mean_m,mean_f,mean_total,mean_lnratio,mean_urate,mean_need,mean_fac,mean_ei,mean_old75
pre,4.15267639902676,13.7366180048662,17.8892944038929,-1.38403371591654,3.07033434650456,68096.5939209727,19299.1957446809,864502.268693009,0.141199392097265
2016-only,5.61111111111111,17.2350427350427,22.8461538461539,-1.23893094410635,2.56510638297872,70076.8510638298,19687.8510638298,889473.65106383,0.146846808510638
2017+,8.48537234042553,24.3224734042553,32.8078457446809,-1.28901492305808,2.18736702127659,72212.0771276596,19969.7480053192,924919.551861702,0.154104388297873
